,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,Class
56,14040.845959904591,-69801.31359922368,-72088.78079638517,-2434.3979010759754,-39047.849472065245,-9606.5634760765,17937.414997068703,33499.43546636076,14516.359835395206,-9690.776941015425,control
57,-66856.5897231802,-40857.97650628044,-41053.921047469055,39710.40351089616,-81793.62443620779,472.8192547897492,-48585.385780416895,-15721.878195075864,-10683.253202988995,-30553.984871290617,control
58,-37866.08125204989,-85772.05050142936,-8775.645779403976,138610.30359643846,-57742.89067173548,46111.30494365151,1138.6743434768568,6255.708512817462,-42520.55148966361,6067.282906282341,control
59,-8390.1601233792,-58270.85200221174,-42616.31995204572,4385.038929799931,45724.48224785271,-11951.996828947838,-45810.6632751823,21232.203831701136,3005.9515075089953,1744.2457330019374,control
60,211970.82366193386,-81887.88812538832,-67818.05001660842,-2191.469730099974,11031.63418892469,7577.667348628418,-12674.06233425001,25449.175947596905,-22171.799660998367,19691.955224873345,control
61,18249.86742713651,33711.774197367835,-70512.86554547629,33677.605627971316,-8832.46946879906,-40238.42016202833,12980.391309886358,-17768.67825905736,-12965.765271960403,-33192.95901690112,control
62,-55347.4934073246,-14949.585974102267,-52865.918791698496,29394.87475858402,-44229.97724289242,-23722.40898968519,-42720.93207454605,-26694.787971367277,9467.607050724017,-5415.1065913224775,control
63,-44877.802740661726,-174332.76621097408,121626.92153864694,156885.97355168586,124334.46130284351,-23371.3619228781,29951.92895272437,25457.827924276615,24785.04239524698,-27.204225839495255,control
64,159601.103634181,-74102.74280559017,25658.17877089173,-75280.7669648529,24893.759960646876,28151.183759606272,45231.95124565939,-26766.946874296587,-15183.724084678064,9700.096444310188,control
65,-206710.34012708615,-38062.98127447951,-17471.303275141643,-6217.039485251249,-40770.301814267455,-1027.9372026646097,2021.4211153162892,5135.352437333494,-2537.4001504924213,4440.154848231638,control
66,18961.747375318017,89772.79125794003,-31559.206047716536,8833.986667871335,26739.892686284118,38414.65359915749,17246.926452004565,15998.239991206081,16056.769854279866,-33491.64117735162,control
67,-13417.037766094782,-40275.440506414685,-23957.686248083948,12035.786917056075,-93890.14351692847,-35052.85214976512,-34355.543668632294,-2412.672402488801,12161.701544091045,36975.565092160716,control
68,-155068.71863555425,-49656.539185496724,-18208.345729111796,-21075.647751552726,-19218.862086649795,-24295.330849546594,-696.0885754111303,-17299.95671988313,5810.924706329305,-7216.581861047524,control
69,67857.88751286396,-64429.82104797819,-47800.19876349332,-27951.698267462918,-2157.6573475272317,1029.584558241578,7571.658061801755,-28617.634554625027,-9095.595624631775,11473.27464604319,control
70,25016.867814227622,6662.755152311887,-85634.0297180902,-35925.08517111338,-25130.699281954683,-2154.995809613003,-27468.497283043915,6338.362075149465,444.01640831966876,-3573.419136500701,control
71,54633.85130800499,6291.665496703093,-68120.35578148597,-37787.919928567135,-4863.1657351091735,-19919.939864661977,-35283.64135342949,8064.940912866068,9288.971473304175,-3752.9214680191667,control
72,-23074.161729892025,-59038.99395356873,-60211.81872772451,18570.721413916883,-14733.615086450794,-14232.34931087154,-31777.895675845328,-2400.0845823804502,-5285.437151950909,-17775.71683983016,control
73,-61558.654231059845,-88032.58107474417,-73369.66797058862,47246.691438605296,-10305.487142347016,37691.1757905177,-26237.71585848097,-55880.56183051206,12047.418165998803,-45274.10202760329,control
74,1714.278183387484,-53740.483425354694,-83778.75366791204,-29712.90179359095,36228.74490647555,17719.418969163857,-11016.642574982912,-4262.745917517863,3364.772564421052,291.2679204637712,control
75,-20380.91447911778,9881.393539815832,-90482.82956769412,-51679.585891828465,-34834.61299203008,-18054.982560752058,-4007.701144050031,-4704.112499607952,5856.40296484514,-2760.3047617528605,control
76,20587.25655064635,3365.5128635465203,-42027.69968311368,51169.594673410764,121375.87126533012,-7730.965574618096,16901.98420080428,-6148.841645543625,5208.2673133018625,1871.4150807441954,control
77,-17470.617355460516,-59355.57526420073,-79921.51412923419,-35748.47985557182,34364.91360475504,1214.9147775801553,-12799.191842688408,-11508.69693212721,2942.2703283544843,-1076.0450000974113,control
78,146300.8987009481,33375.903603394334,-47005.955514447785,16279.78860748905,41837.03093682415,-21328.337640703285,18634.183539004676,-1668.3362619432792,-6008.318667493765,-13009.56545783512,control
79,75010.07419500506,-77012.42463282151,-55691.99353700756,63305.5373390164,32143.096066263304,33473.22305404802,-28632.75446026869,-7002.393732498454,1669.845369837198,-40438.147835452255,control
80,112922.71662000804,-33203.63769424344,99164.30865554097,-76475.2613396394,8757.452558403695,56641.1460173408,-25875.427677051885,16654.12093520195,-5987.3176677863075,-4321.4362938544145,control
81,-39521.266910433565,-57006.65763262067,90324.74442278812,-30883.833402857075,43899.36064735084,-16186.484397350558,32313.05456580409,3335.269881565708,1218.368048819742,10683.381982326817,control
